id,symbol,name,market_cap_rank
bitcoin,btc,Bitcoin,1
ethereum,eth,Ethereum,2
tether,usdt,Tether,3
ripple,xrp,XRP,4
binancecoin,bnb,BNB,5
solana,sol,Solana,6
dogecoin,doge,Dogecoin,7
usd-coin,usdc,USDC,8
staked-ether,steth,Lido Staked Ether,9
cardano,ada,Cardano,10
tron,trx,TRON,11
avalanche-2,avax,Avalanche,12
the-open-network,ton,Toncoin,13
chainlink,link,Chainlink,14
wrapped-steth,wsteth,Wrapped stETH,15
shiba-inu,shib,Shiba Inu,16
wrapped-bitcoin,wbtc,Wrapped Bitcoin,17
sui,sui,Sui,18
hedera-hashgraph,hbar,Hedera,19
stellar,xlm,Stellar,20
polkadot,dot,Polkadot,21
weth,weth,WETH,22
bitcoin-cash,bch,Bitcoin Cash,23
hyperliquid,hype,Hyperliquid,24
bitget-token,bgb,Bitget Token,25
leo-token,leo,LEO Token,26
litecoin,ltc,Litecoin,27
uniswap,uni,Uniswap,28
pepe,pepe,Pepe,29
wrapped-eeth,weeth,Wrapped eETH,30
near,near,NEAR Protocol,31
ethena-usde,usde,Ethena USDe,32
aave,aave,Aave,33
usds,usds,USDS,34
internet-computer,icp,Internet Computer,35
aptos,apt,Aptos,36
crypto-com-chain,cro,Cronos,38
polygon-ecosystem-token,pol,POL (ex-MATIC),37
mantle,mnt,Mantle,39
vechain,vet,VeChain,40
ethereum-classic,etc,Ethereum Classic,41
render-token,render,Render,42
whitebit,wbt,WhiteBIT Coin,43
bittensor,tao,Bittensor,44
mantra-dao,om,MANTRA,45
monero,xmr,Monero,46
fetch-ai,fet,Artificial Superintelligence Alliance,47
dai,dai,Dai,48
arbitrum,arb,Arbitrum,49
filecoin,fil,Filecoin,50
virtual-protocol,virtual,Virtuals Protocol,51
algorand,algo,Algorand,52
kaspa,kas,Kaspa,53
okb,okb,OKB,54
ethena,ena,Ethena,55
pudgy-penguins,pengu,Pudgy Penguins,57
fantom,ftm,Fantom,56
cosmos,atom,Cosmos Hub,58
movement,move,Movement,59
optimism,op,Optimism,60
bonk,bonk,Bonk,61
blockstack,stx,Stacks,62
immutable-x,imx,Immutable,63
celestia,tia,Celestia,64
theta-token,theta,Theta Network,65
ondo-finance,ondo,Ondo,66
injective-protocol,inj,Injective,67
binance-peg-weth,weth,Binance-Peg WETH,69
the-graph,grt,The Graph,68
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,70
first-digital-usd,fdusd,First Digital USD,71
dogwifcoin,wif,dogwifhat,72
gatechain-token,gt,Gate,73
sei-network,sei,Sei,74
jasmycoin,jasmy,JasmyCoin,75
worldcoin-wld,wld,Worldcoin,76
rocket-pool-eth,reth,Rocket Pool ETH,77
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,78
tokenize-xchange,tkx,Tokenize Xchange,79
thorchain,rune,THORChain,80
floki,floki,FLOKI,81
quant-network,qnt,Quant,82
lido-dao,ldo,Lido DAO,83
usual-usd,usd0,Usual USD,84
mantle-staked-ether,meth,Mantle Staked Ether,85
gala,gala,GALA,86
lombard-staked-btc,lbtc,Lombard Staked BTC,87
flare-networks,flr,Flare,88
beam-2,beam,Beam,89
raydium,ray,Raydium,90
tezos,xtz,Tezos,91
fasttoken,ftn,Fasttoken,92
the-sandbox,sand,The Sandbox,93
maker,mkr,Maker,94
pyth-network,pyth,Pyth Network,95
nexo,nexo,NEXO,96
kucoin-shares,kcs,KuCoin,97
based-brett,brett,Brett,98
solv-btc,solvbtc,Solv Protocol SolvBTC,99
kaia,kaia,Kaia,100
